,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
106,230790,23,CE,Nordeste,2301,Noroeste Cearense,23001,Litoral de Camocim e Acara·,298.962,6,0.599,2260,617,115,1174,3491.37,10214,5100,5114,6861,3980,9409,5,641,56.33,170.0,450.39,1029.44
107,230800,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,566.581,15,0.616,7109,2147,502,2185,3823.18,35191,17444,17747,23787,13592,31435,16,2465,123.33,248.86,701.86,985.28
108,230810,23,CE,Nordeste,2307,Sul Cearense,23031,Barro,1049.488,21,0.605,7646,2448,556,4088,3991.94,44240,22091,22149,29537,16177,40697,20,2872,132.67,203.33,724.53,1059.76
109,230820,23,CE,Nordeste,2301,Noroeste Cearense,23004,Meruoca,149.845,7,0.618,2350,830,129,858,3614.95,13693,6874,6819,10414,4886,12599,.,791,198.75,246.67,1056.22,1035.24
110,230830,23,CE,Nordeste,2307,Sul Cearense,23033,Brejo Santo,606.444,31,0.628,4450,938,270,1904,4127.15,28316,13926,14390,18897,8624,26110,35,1822,188.6,255.0,797.68,1122.53
111,230835,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,502.344,8,0.626,2103,551,182,1246,4285.53,13086,6528,6558,8893,3976,11959,.,955,138.33,300.0,669.86,1201.69
112,230837,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,699.964,8,0.592,2483,794,105,802,3546.05,12800,6607,6193,8113,4918,11445,6,1028,70.67,133.33,516.96,1001.95
113,230840,23,CE,Nordeste,2307,Sul Cearense,23032,Cariri,645.703,24,0.622,6146,1356,378,3187,4428.44,34274,16915,17359,22834,11119,31495,24,2278,162,240.0,817.26,1455.02
114,230850,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,2119.48,13,0.582,7041,1446,880,2650,3735.29,42690,21249,21441,26467,12217,37723,24,3844,140.5,266.0,643.98,1163.76
115,230860,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,886.137,13,0.61,3040,823,237,1351,3882.17,16705,8295,8410,10903,6557,13275,10,1495,116.67,251.4,627.7,1005.27
